data,total_bombonas,total_peso
2025-01-01,0,0
2025-01-02,48,1397
2025-01-03,26,755
2025-01-04,28,867
2025-01-05,25,783
2025-01-06,27,806
2025-01-07,26,795
2025-01-08,22,704
2025-01-09,26,775
2025-01-10,24,713
2025-01-11,25,730
2025-01-12,23,642
2025-01-13,25,995
2025-01-14,25,791
2025-01-15,23,679
2025-01-16,25,806
2025-01-17,25,759
2025-01-18,23,784
2025-01-19,26,819
2025-01-20,24,774
2025-01-21,29,930
2025-01-22,26,799
2025-01-23,26,600
2025-01-24,26,850
2025-01-25,30,931
2025-01-26,25,726
2025-01-27,26,823
2025-01-28,29,900
2025-01-29,25,860
2025-01-30,24,772
2025-01-31,26,888
2025-02-01,24,776
2025-02-02,21,640
2025-02-03,21,628
2025-02-04,25,751
2025-02-05,23,836
2025-02-06,25,685
2025-02-07,28,826
2025-02-08,25,626
2025-02-09,24,645
2025-02-10,22,595
2025-02-11,29,677
2025-02-12,36,934
2025-02-13,28,534
2025-02-14,26,670
2025-02-15,30,732
2025-02-16,26,690
2025-02-17,25,691
2025-02-18,25,594
2025-02-19,27,646
2025-02-20,32,800
2025-02-21,19,457
2025-02-22,31,567
2025-02-23,15,367
2025-02-24,25,638
2025-02-25,25,645
2025-02-26,23,599
2025-02-27,28,635
2025-02-28,23,859
2025-03-01,25,502
2025-03-02,25,529
2025-03-03,24,568
2025-03-04,25,419
2025-03-05,32,756
2025-03-06,20,505
2025-03-07,28,717
2025-03-08,21,522
2025-03-09,27,487
2025-03-10,21,501
2025-03-11,26,642
2025-03-12,21,525
2025-03-13,25,634
2025-03-14,23,591
2025-03-15,26,585
2025-03-16,19,567
2025-03-17,24,529
2025-03-18,25,687
2025-03-19,27,722
2025-03-20,25,695
2025-03-21,24,600
2025-03-22,23,516
2025-03-23,26,636
2025-03-24,21,651
2025-03-25,22,593
2025-03-26,23,649
2025-03-27,23,568
2025-03-28,23,653
2025-03-29,29,655
2025-03-30,22,506
2025-03-31,20,590
2025-04-01,34,830
2025-04-02,17,405
2025-04-03,24,519
2025-04-04,22,535
2025-04-05,24,544
2025-04-06,26,590
2025-04-07,20,500
2025-04-08,23,494
2025-04-09,26,653
2025-04-10,23,560
2025-04-11,20,564
2025-04-12,27,558
2025-04-13,23,570
2025-04-14,22,477
2025-04-15,27,583
2025-04-16,24,601
2025-04-17,23,575
2025-04-18,16,360
2025-04-19,30,730
2025-04-20,24,566
2025-04-21,21,478
2025-04-22,26,597
2025-04-23,22,544
2025-04-24,23,480
2025-04-25,23,577
2025-04-26,27,684
2025-04-27,26,411
2025-04-28,26,635
2025-04-29,23,635
2025-04-30,25,615
2025-05-01,25,609
2025-05-02,25,610
2025-05-03,23,570
2025-05-04,27,650
2025-05-05,27,665
2025-05-06,22,540
2025-05-07,23,555
2025-05-08,29,695
2025-05-09,24,595
2025-05-10,27,660
2025-05-11,19,470
2025-05-12,26,635
2025-05-13,22,545
2025-05-14,27,583
2025-05-15,19,475
2025-05-16,27,660
2025-05-17,23,560
2025-05-18,24,590
2025-05-19,20,488
2025-05-20,22,540
2025-05-21,26,635
2025-05-22,25,610
2025-05-23,21,515
2025-05-24,23,560
2025-05-25,21,515
2025-05-26,21,515
2025-05-27,22,540
2025-05-28,26,782
2025-05-29,22,535
2025-05-30,26,640
2025-05-31,20,495
2025-06-01,25,605
2025-06-02,23,570
2025-06-03,23,663
2025-06-04,24,687
2025-06-05,25,738
2025-06-06,24,728
2025-06-07,25,575
2025-06-08,25,610
2025-06-09,21,520
2025-06-10,26,723
2025-06-11,27,645
2025-06-12,21,559
2025-06-13,24,658
2025-06-14,22,591
2025-06-15,20,480
2025-06-16,26,710
2025-06-17,22,572
2025-06-18,24,712
2025-06-19,22,709
2025-06-20,25,672
2025-06-21,22,602
2025-06-22,23,682
2025-06-23,26,491
2025-06-24,36,805
2025-06-25,15,341
2025-06-26,20,460
2025-06-27,24,611
2025-06-28,24,580
2025-06-29,23,535
2025-06-30,22,553
2025-07-01,21,483
2025-07-02,28,639
2025-07-03,16,356
2025-07-04,22,452
2025-07-05,24,553
2025-07-06,22,557
2025-07-07,27,665
2025-07-08,17,360
2025-07-09,26,632
2025-07-10,22,495
2025-07-11,24,662
2025-07-12,18,629
2025-07-13,20,512
2025-07-14,31,763
2025-07-15,17,366
2025-07-16,22,537
2025-07-17,21,521
2025-07-18,21,519
2025-07-19,21,519
2025-07-20,23,591
2025-07-21,28,671
2025-07-22,16,445
2025-07-23,22,652
2025-07-24,23,704
2025-07-25,26,742
2025-07-26,20,584
2025-07-27,20,462
2025-07-28,23,707
2025-07-29,21,700
2025-07-30,21,680
2025-07-31,20,567
2025-08-01,23,666
2025-08-02,22,454
2025-08-03,23,664
2025-08-04,24,597
2025-08-05,19,480
2025-08-06,27,813
2025-08-07,15,485
2025-08-08,27,788
2025-08-09,14,611
2025-08-10,23,560
2025-08-11,20,678
2025-08-12,22,696
2025-08-13,26,773
2025-08-14,17,547
2025-08-15,27,790
2025-08-16,23,652
2025-08-17,21,622
2025-08-18,24,592
2025-08-19,24,726
2025-08-20,25,740
2025-08-21,25,669
2025-08-22,25,802
2025-08-23,21,613
2025-08-24,24,681
2025-08-25,24,775
2025-08-26,17,495
2025-08-27,22,728
2025-08-28,25,666
2025-08-29,21,648
2025-08-30,23,614
2025-08-31,20,538
2025-09-01,19,599
2025-09-02,23,748
2025-09-03,26,703
2025-09-04,23,652
2025-09-05,21,622
2025-09-06,19,591
2025-09-07,25,381
2025-09-08,19,495
2025-09-09,22,677
2025-09-10,21,623
2025-09-11,23,654
2025-09-12,26,700
2025-09-13,21,727
2025-09-14,16,389
